,Negemo,Posemo,Work
battling,5.0,,
beaten,3.0,,3.0
beautiful,,274.0,
"beautiful
at",,1.0,
"beautiful
this",,1.0,
beautifully,,5.0,
beautifulso,,1.0,
beautifulthat,,1.0,
beauty,,49.0,
"beauty

i",,1.0,
beloved,,4.0,
beneficial,,8.0,
benefit,,13.0,
benefits,,22.0,22.0
benevolent,,2.0,
best,,496.0,
better,,549.0,
biological,,,5.0
biologically,,,2.0
biology,,,9.0
bitch,101.0,,
bitchass,1.0,,
bitches,15.0,,
bitchface,1.0,,
bitchhhhh,1.0,,
bitchier,1.0,,
bitchiest,1.0,,
bitchiness,2.0,,
bitching,5.0,,
bitchqueen,1.0,,
bitchuniverse,1.0,,
bitchy,4.0,,
bitchyuntalkative,1.0,,
bitch”,1.0,,
bitter,22.0,,
"bitter
now",1.0,,
bitterly,4.0,,
bitterness,1.0,,
bittersweet,1.0,,
biz,,,1.0
blackboard,,,6.0
blam,1.0,,
blamable,1.0,,
blame,42.0,,
blamed,4.0,,
blaming,9.0,,
bless,,12.0,
blessed,,7.0,
blesses,,1.0,
blessing,,3.0,
blessings,,1.0,
bold,,2.0,
boldly,,1.0,
boldness,,1.0,
bonus,,3.0,
bonuses,,1.0,
book,,,30.0
"book

chapter",,,1.0
booked,,,2.0
booking,,,1.0
booklet,,,1.0
bookmarked,,,1.0
books,,,19.0
bookscene,,,1.0
bookshelvesthey,,,1.0
bore,3.0,,
bored,27.0,,
boredom,1.0,,
bores,1.0,,
boring,44.0,,
boss,,,12.0
bosses,,,1.0
bossy,,,1.0
bother,49.0,,
bothered,22.0,,
bothering,8.0,,
bothers,27.0,,
bothersome,1.0,,
brave,,16.0,
bravely,,1.0,
bravery,,3.0,
bravest,,1.0,
bright,,21.0,
"bright
when",,1.0,
brighten,,5.0,
brightened,,4.0,
brightening,,1.0,
brightens,,5.0,
brighter,,5.0,
brightest,,2.0,
brightly,,1.0,
brights,,1.0,
brilliant,,13.0,
broke,94.0,,
brutal,8.0,,
brutality,6.0,,
brutally,2.0,,
burden,20.0,,
burdencan,1.0,,
burdened,1.0,,
burdening,1.0,,
burdenmaybe,1.0,,
burdens,2.0,,
bureaucracy,,,1.0
bureaucratic,,,4.0
bureaucrats,,,1.0
business,,,51.0
businesses,,,5.0
"businesses

what",,,1.0
businesslike,,,1.0
businessman,,,2.0
businessmen,,,2.0
busy,,,75.0
cafeterias,,,1.0
calculus,,,3.0
calm,,13.0,
"calm
i",,1.0,
calmly,,5.0,
calms,,1.0,
campus,,,385.0
"campus

but",,,1.0
"campus

however",,,1.0
"campus

one",,,1.0
campusdoes,,,1.0
campuses,,,4.0
campusif,,,1.0
care,,455.0,
cared,,50.0,
career,,,60.0
"career

that",,,1.0
careerdriven,,,1.0
careerrelated,,,1.0
careers,,,6.0
carefree,,4.0,
careful,,9.0,
carefully,,6.0,
careless,5.0,,
carelessly,1.0,,
cares,,53.0,
caring,,49.0,
casual,,25.0,
casually,,13.0,
ceo,,,1.0
certain,,80.0,
certainly,,32.0,
certaintiesthe,,1.0,
certifiably,,,3.0
certificate,,,2.0
certified,,,1.0
chairman,,,1.0
chalk,,,5.0
challenge,,13.0,13.0
"challenge

find",,1.0,1.0
challenged,,5.0,5.0
challenges,,13.0,13.0
challenging,,7.0,7.0
champ,,2.0,2.0
champagne,,2.0,2.0
championship,,2.0,2.0
charitable,,1.0,
charity,,3.0,
charm,,2.0,
charming,,5.0,
cheat,17.0,,
cheated,31.0,,
cheater,2.0,,
cheaters,1.0,,
cheating,25.0,,
cheatingisnotok,1.0,,
cheatingsorry,1.0,,
cheats,3.0,,
cheer,,10.0,
cheered,,2.0,
cheerful,,7.0,
cheerfully,,1.0,
cheering,,6.0,
"cheering

didnt",,1.0,
cheerleader,,3.0,
cheers,,4.0,
cheery,,2.0,
cherish,,4.0,
cherished,,2.0,
cherishes,,1.0,
cherishing,,1.0,
class,,,338.0
classes,,,251.0
classmate,,,2.0
classmates,,,19.0
classroom,,,10.0
classrooms,,,4.0
clever,,3.0,
cleverness,,1.0,
collaboration,,,1.0
collaborative,,,1.0
collaborators,,,1.0
colleaguei,,,1.0
colleagues,,,5.0
college,,,351.0
"college

6",,,1.0
"college

9",,,1.0
"college

i",,,1.0
"college

so",,,1.0
"college

yet",,,1.0
"college
and",,,1.0
"college
i",,,1.0
"college
one",,,1.0
collegeaged,,,1.0
collegecareer,,,1.0
colleges,,,15.0
collegethe,,,1.0
collegetime,,,1.0
collegetown,,,27.0
collegiate,,,1.0
comedian,,2.0,
comedic,,2.0,
comedies,,2.0,
comedy,,1.0,
comfort,,29.0,
comfortability,,1.0,
comfortable,,67.0,
"comfortable

these",,1.0,
comfortably,,3.0,
comforted,,1.0,
comforter,,4.0,
comforters,,1.0,
comforting,,1.0,
commercials,,,2.0
commitment,,13.0,
commitments,,3.0,
commute,,,3.0
companies,,,20.0
company,,,38.0
compassion,,12.0,
compassionate,,7.0,
complain,48.0,,
complained,9.0,,
complaining,34.0,,
complains,3.0,,
complaint,12.0,,
complaints,4.0,,
compliment,,18.0,
"compliment

now",,1.0,
complimented,,3.0,
complimenting,,2.0,
compliments,,9.0,
computer,,,46.0
computers,,,7.0
conference,,,6.0
conferences,,,1.0
confidence,,65.0,
confident,,48.0,
confidently,,3.0,
confront,10.0,,
confrontation,1.0,,
confronted,8.0,,
confronting,2.0,,
confuse,1.0,,
confused,45.0,,
"confused
1",1.0,,
confuses,2.0,,
confusing,12.0,,
"confusing

sincerely
guys",1.0,,
confusion,7.0,,
conglomerated,,,1.0
conglomeration,,,1.0
considerate,,12.0,
consult,,,1.0
consulting,,,4.0
contempt,3.0,,
contemptible,1.0,,
contemptuous,1.0,,
contented,,1.0,
contracts,,,1.0
contradiction,1.0,,
convince,,25.0,
convinced,,20.0,
convincing,,6.0,
cool,,80.0,
corporate,,,9.0
corporatespeak,,,1.0
corporation,,,2.0
corporations,,,3.0
counseled,,,2.0
counseling,,,12.0
counselling,,,1.0
counselor,,,16.0
counselors,,,6.0
counsious,,,1.0
courage,,71.0,
courageous,,2.0,
course,,,106.0
coursehero,,,2.0
coursenothings,,,1.0
coursera,,,1.0
courses,,,20.0
courseslab,,,1.0
coursethis,,,1.0
coursework,,,6.0
coworker,,,5.0
coworkers,,,8.0
crap,49.0,,
crappy,7.0,,
craze,1.0,,
crazier,2.0,,
crazies,1.0,,
crazily,1.0,,
craziness,2.0,,
crazy,134.0,,
"crazy

i",1.0,,
"crazy

in",1.0,,
"crazy
i",1.0,,
crazywhich,1.0,,
crazy”,1.0,,
create,,22.0,
created,,21.0,
creates,,7.0,
creating,,7.0,
creation,,2.0,
creations,,1.0,
creative,,9.0,
creativity,,2.0,
credentials,,,1.0
credit,,19.0,19.0
"credit

there",,1.0,1.0
creditdebit,,1.0,1.0
credits,,15.0,15.0
creditsterm,,1.0,1.0
creditwhatever,,1.0,1.0
creditwise,,1.0,1.0
cried,44.0,,
cries,5.0,,
critical,4.0,,
criticism,10.0,,
criticize,8.0,,
criticizes,1.0,,
criticizing,6.0,,
crude,2.0,,
cruel,10.0,,
cruelest,2.0,,
cruelly,3.0,,
cruelty,2.0,,
"cruelty

more",1.0,,
crushed,8.0,,
cry,95.0,,
crying,76.0,,
cubicle,,,1.0
cunt,2.0,,
curricular,,,1.0
curriculum,,,4.0
customer,,,7.0
customers,,,1.0
cut,67.0,,
cute,,166.0,
"cute

from

the",,1.0,
"cute

seconded",,1.0,
"cute
i",,1.0,
"cute
you",,1.0,
cutehot,,1.0,
cutehotetc,,1.0,
cuteish,,1.0,
cuteness,,2.0,
cutest,,12.0,
cutie,,4.0,
cynical,13.0,,
cynicismit’s,1.0,,
damage,18.0,,
"damage
",1.0,,
damaged,6.0,,
damages,3.0,,
damaging,5.0,,
damn,122.0,,
"damn
til",1.0,,
damned,5.0,,
danger,3.0,,
dangerous,15.0,,
dangerousanyways,1.0,,
dangerously,1.0,,
daring,,3.0,
darlin,,2.0,
darling,,1.0,
daze,1.0,,
deadline,,,4.0
deadlines,,,6.0
dean,,,3.0
deans,,,9.0
dear,,23.0,
"dear
to",,1.0,
dearly,,12.0,
defeat,7.0,,
defeated,2.0,,
defeatist,2.0,,
defective,1.0,,
defects,1.0,,
defense,4.0,,
defenses,2.0,,
defensive,7.0,,
definite,,2.0,
definitely,,99.0,
degrade,3.0,,
degraded,2.0,,
degrading,8.0,,
delectable,,1.0,
delegate,,,1.0
delicious,,3.0,
deliciousness,,1.0,
delight,,2.0,
delighted,,1.0,
delightfully,,2.0,
department,,,22.0
"department

it",,,1.0
departments,,,7.0
depressed,181.0,,
"depressed
a",1.0,,
depresseddefeatedguiltycondemnedashamed,1.0,,
depressedsuicidal,1.0,,
depresses,4.0,,
depressing,39.0,,
"depressing

and",1.0,,
depression,170.0,,
"depression

have",1.0,,
"depression

you",1.0,,
depressionanxietyinsomniaridden,1.0,,
depressive,5.0,,
"depressive

so",1.0,,
deprive,3.0,,
deprived,3.0,,
depriving,2.0,,
desk,,,19.0
desks,,,2.0
desktop,,,3.0
despair,8.0,,
desperate,40.0,,
desperately,21.0,,
desperateneedy,1.0,,
desperation,2.0,,
despise,18.0,,
despised,2.0,,
despises,1.0,,
destroy,23.0,,
destroyed,10.0,,
destroying,8.0,,
destroys,3.0,,
destruction,2.0,,
destructive,6.0,,
destructively,1.0,,
destructiveness,1.0,,
determination,,3.0,
determined,,9.0,
devastate,1.0,,
devastated,5.0,,
devastates,1.0,,
devastating,5.0,,
"devastating

i",1.0,,
devastation,1.0,,
devil,3.0,,
devilishly,1.0,,
devils,1.0,,
devote,,3.0,
devoted,,4.0,
devoting,,2.0,
devotion,,1.0,
difficult,95.0,,
difficulties,5.0,,
difficulty,6.0,,
dignity,,7.0,
"dignity

no",,1.0,
diploma,,,2.0
director,,,2.0
directors,,,1.0
disadvantage,2.0,,
disadvantaged,4.0,,
disadvantageous,1.0,,
disadvantages,3.0,,
disagree,16.0,,
disagreed,1.0,,
disagreement,4.0,,
disagreements,1.0,,
disagrees,1.0,,
disappoint,6.0,,
disappointed,48.0,,
disappointing,10.0,,
disappointment,15.0,,
disappoints,1.0,,
disaster,4.0,,
"disaster

all",1.0,,
discomfort,5.0,,
discouraged,6.0,,
discourages,1.0,,
discouraging,6.0,,
"discouraging

your",1.0,,
disgust,15.0,,
disgusted,18.0,,
disgusting,38.0,,
"disgusting

gabe",1.0,,
disgustingly,1.0,,
disgusts,2.0,,
disheartened,2.0,,
disheartening,4.0,,
disillusioned,3.0,,
disillusioning,1.0,,
dislike,24.0,,
disliked,1.0,,
dislikes,1.0,,
dismaying,1.0,,
dissatisfaction,3.0,,
dissatisfied,1.0,,
distract,10.0,,
distracted,9.0,,
distracteddisinterested,1.0,,
distracting,8.0,,
distractingly,1.0,,
distraction,5.0,,
"distraction
i",1.0,,
distractions,2.0,,
distracts,1.0,,
distraught,2.0,,
distress,5.0,,
distressed,2.0,,
"distressing

the",1.0,,
distrust,1.0,,
distrusted,1.0,,
distrustful,1.0,,
disturb,3.0,,
disturbed,3.0,,
disturbing,6.0,,
disturbingwe,1.0,,
disturbs,2.0,,
divine,,3.0,
diving,,2.0,
doctor,,,25.0
doctors,,,20.0
dominant,3.0,,
dominants,1.0,,
dominate,2.0,,
dominated,3.0,,
dominates,1.0,,
domination,1.0,,
doom,1.0,,
doomed,3.0,,
dorkawkward,1.0,,
dorm,,,45.0
"dorm

semester",,,1.0
dorming,,,1.0
dormitory,,,2.0
dorms,,,11.0
doubt,45.0,,
"doubt
our",1.0,,
doubtful,2.0,,
doubtfulanxiouspretended,1.0,,
doubting,5.0,,
doubts,11.0,,
dread,7.0,,
dreaded,2.0,,
dreadful,1.0,,
dreading,6.0,,
dreads,2.0,,
dropout,,,2.0
dull,8.0,,
"dull
thanks",1.0,,
dullness,1.0,,
dumb,49.0,,
dumbass,11.0,,
dumbbells,1.0,,
dumbed,1.0,,
dumber,1.0,,
dumbest,4.0,,
dumbfounded,1.0,,
dumbing,1.0,,
dumbledore,2.0,,
dumbledores,1.0,,
dumbnarrowminded,1.0,,
dumbo,1.0,,
dump,7.0,,
dumped,13.0,,
dumpedetc,1.0,,
dumping,5.0,,
dumpling,1.0,,
dumps,1.0,,
dumpster,2.0,,
duties,,,3.0
dutifully,,,1.0
duty,,,4.0
dwell,5.0,,
"dwell
too",1.0,,
dwelling,2.0,,
dynamic,,2.0,
dynamics,,4.0,
eager,,5.0,
earn,,,17.0
earned,,,6.0
earnest,,,4.0
earnestly,,,1.0
earning,,,4.0
earnings,,,1.0
earns,,,1.0
ease,,10.0,
"ease

yet",,1.0,
eased,,1.0,
easier,,76.0,
easiest,,5.0,
easily,,56.0,
easy,,148.0,
easygoing,,1.0,
easymode,,2.0,
econ,,,4.0
economic,,,9.0
economical,,,1.0
economically,,,2.0
economics,,,7.0
economies,,,1.0
economy,,,7.0
ecstasy,,2.0,
ecstatic,,2.0,
edit,,,2.0
editing,,,1.0
edition,,,2.0
editor,,,1.0
editorials,,,3.0
educate,,,10.0
educated,,,7.0
educating,,,1.0
education,,,69.0
"education

",,,1.0
"education

professors",,,1.0
educational,,,6.0
efficiency,,2.0,
efficient,,9.0,
egotism,1.0,,
egotistical,3.0,,
elegance,,2.0,
elegant,,3.0,
elementary,,,15.0
embarrass,5.0,,
embarrassed,44.0,,
embarrassing,30.0,,
embarrassment,12.0,,
emotional,93.0,,
employ,,,1.0
employable,,,2.0
employable”,,,1.0
employed,,,4.0
employee,,,6.0
employeeif,,,1.0
employees,,,5.0
employer,,,3.0
employers,,,10.0
employment,,,2.0
emptiness,9.0,,
"emptiness

do",1.0,,
empty,42.0,,
emptyeyed,1.0,,
empty—when,1.0,,
encourage,,7.0,
encouraged,,4.0,
encouragement,,9.0,
encourages,,3.0,
encouraging,,7.0,
enemies,2.0,,
enemy,3.0,,
energetic,,5.0,
energies,,1.0,
energize,,1.0,
energy,,46.0,
engage,,11.0,
engaged,,10.0,
engagements,,1.0,
engages,,1.0,
engaging,,6.0,
engagingand,,1.0,
engagingly,,1.0,
enjoy,,95.0,
"enjoy

it",,1.0,
enjoyable,,6.0,
enjoyed,,20.0,
enjoying,,23.0,
enjoyment,,1.0,
enjoys,,4.0,
enrage,1.0,,
enraged,3.0,,
entertain,,1.0,
entertained,,2.0,
entertainement,,1.0,
entertaining,,5.0,
entertainment,,4.0,
enthusiasm,,3.0,
enthusiast,,3.0,
enthusiastic,,5.0,
envious,5.0,,
envy,7.0,,
evil,15.0,,
evilhearted,1.0,,
evils,1.0,,
exam,,,54.0
exams,,,17.0
excel,,4.0,4.0
excelled,,1.0,1.0
excellence,,3.0,3.0
excellent,,6.0,6.0
excelling,,2.0,2.0
excited,,60.0,
"excited

for",,1.0,
excitedly,,3.0,
excitement,,12.0,
excitements,,1.0,
excites,,2.0,
exciting,,13.0,
excruciating,2.0,,
excruciatingly,2.0,,
exhaust,2.0,,
exhausted,19.0,,
exhausting,6.0,,
exhaustion,3.0,,
expell,,,1.0
expelled,,,1.0
fabulous,,5.0,
factories,,,2.0
faculties,,,1.0
faculttmember,,,1.0
faculty,,,9.0
fail,44.0,,44.0
failed,57.0,,57.0
"failed

what",1.0,,1.0
faili,1.0,,1.0
failing,35.0,,35.0
"failing

some",1.0,,1.0
fails,4.0,,4.0
failure,47.0,,47.0
"failure

at",1.0,,1.0
"failure

nah",1.0,,1.0
"failure
its",1.0,,1.0
failureand,1.0,,1.0
failures,8.0,,8.0
faith,,35.0,
faithbased,,1.0,
faithful,,4.0,
faithfulness,,1.0,
fake,44.0,,
fantastic,,10.0,
fantastically,,1.0,
fatal,4.0,,
fatale,1.0,,
fatality,1.0,,
fatigued,1.0,,
fault,54.0,,
"fault

it",1.0,,
"fault
3",1.0,,
faults,1.0,,
favor,,26.0,
favorable,,1.0,
favored,,1.0,
favoring,,1.0,
favorite,,54.0,
favors,,3.0,
fear,100.0,,
feared,8.0,,
fearing,3.0,,
fearless,,2.0,
fears,14.0,,
feedback,,,9.0
festival,,1.0,
fight,67.0,,
fighting,34.0,,
fights,5.0,,
fightthefee,2.0,,
finals,,,77.0
finance,,,8.0
financed,,,2.0
finances,,,6.0
financial,,,67.0
financially,,,13.0
financiers,,,1.0
fine,,99.0,
fired,11.0,,11.0
firing,,,4.0
flattered,,9.0,
flattering,,2.0,
flattery,,1.0,
flawless,,1.0,
flawlessly,,1.0,
flawlessness,,1.0,
flexibility,,1.0,
flirt,,17.0,
flirtation,,1.0,
flirtatious,,3.0,
flirted,,4.0,
flirtgo,,1.0,
flirtiest,,1.0,
flirting,,21.0,
flirtingyou,,1.0,
flirts,,3.0,
flirtshow,,1.0,
flirty,,8.0,
flunk,1.0,,
flunked,1.0,,
foever,1.0,,
fond,,4.0,
fondly,,1.0,
fondness,,1.0,
fool,20.0,,
fooled,6.0,,
fooling,8.0,,
foolish,4.0,,
foolishly,2.0,,
fools,5.0,,
forbid,3.0,,
forgave,,1.0,
forgive,,29.0,
forgiven,,4.0,
forgiveness,,3.0,
forgiving,,4.0,
fought,6.0,,
frantic,1.0,,
frantically,3.0,,
frat,,,68.0
fraternal,,,1.0
fraternities,,,4.0
fraternity,,,19.0
fraternitys,,,1.0
fraternitysorority,,,1.0
freak,11.0,,
freaked,8.0,,
freakin,3.0,,
freaking,33.0,,
freaks,4.0,,
freaky,1.0,,
free,,142.0,
freebird,,1.0,
freedom,,22.0,
freedoms,,2.0,
freeing,,1.0,
freeloving,,1.0,
freely,,5.0,
freemarket,,2.0,
freemason,,1.0,
freeze,,5.0,
freezer,,2.0,
freezing,,6.0,
freshman,,,199.0
freshmen,,,39.0
friend,,627.0,
"friend
",,1.0,
"friend

admin",,1.0,
"friend

i",,2.0,
"friend

ill",,1.0,
"friend

ive",,1.0,
"friend

last",,1.0,
"friend

when",,1.0,
"friend

your",,1.0,
"friend
i",,1.0,
"friend
today",,1.0,
friendacquaintance,,2.0,
friended,,1.0,
friendless,,4.0,
friendliness,,6.0,
"friendliness
thanks",,1.0,
friendly,,55.0,
friendor,,1.0,
friends,,1423.0,
"friends

do",,1.0,
"friends

i",,1.0,
"friends

now",,1.0,
"friends

then",,1.0,
"friends
15",,1.0,
"friends
i",,1.0,
"friends
im",,1.0,
"friends
she",,1.0,
"friends
with",,1.0,
friendsacquaintances,,1.0,
friendsand,,1.0,
friendsbut,,2.0,
friendshasnt,,1.0,
friendship,,94.0,
"friendship

and",,1.0,
"friendship

youre",,1.0,
friendships,,35.0,
friendshow,,1.0,
friendsi,,1.0,
friendstoomanymixedsignals,,1.0,
friendsy,,1.0,
friends”,,1.0,
friends…or,,1.0,
friendwellwho,,1.0,
friendzone,,3.0,
friendzoned,,6.0,
"friendzoned

1",,1.0,
friendzones,,1.0,
friend”,,1.0,
frighten,1.0,,
frightened,1.0,,
frightening,1.0,,
frighteningly,3.0,,
frustrate,4.0,,
frustrated,30.0,,
frustrates,6.0,,
frustrating,32.0,,
frustration,19.0,,
frustrations,6.0,,
fuck,295.0,,
fucked,73.0,,
fucker,2.0,,
fuckerr,2.0,,
fuckers,3.0,,
fuckery,1.0,,
fuckin,5.0,,
fucking,290.0,,
fucks,12.0,,
fumes,1.0,,
fuming,1.0,,
fun,,232.0,
funnest,,4.0,
funniest,,1.0,
funny,,94.0,
funny…,,1.0,
furious,5.0,,
fury,2.0,,
geek,3.0,,
geekiest,1.0,,
generosity,,3.0,
generous,,4.0,
generously,,1.0,
gentle,,3.0,
gently,,1.0,
giggle,,2.0,
giggles,,1.0,
giggling,,2.0,
giving,,92.0,
glad,,89.0,
gladly,,9.0,
glamorous,,1.0,
gloominess,1.0,,
gloomy,2.0,,
glorify,,1.0,
glorious,,2.0,
glory,,1.0,
goal,,,23.0
"goal
needless",,,1.0
goals,,,24.0
goddam,1.0,,
goddamit,1.0,,
goddammit,3.0,,
goddamn,30.0,,
goddamned,1.0,,
goddamnit,2.0,,
good,,791.0,
goodness,,10.0,
gorgeous,,61.0,
gossip,12.0,,
gossiping,2.0,,
gov,,,9.0
government,,,28.0
governmentmedia,,,1.0
governments,,,1.0
gpa,,,146.0
grace,,3.0,
graceful,,2.0,
gracefully,,3.0,
grad,,,66.0
grade,,,76.0
graded,,,3.0
grader,,,4.0
graders,,,1.0
grades,,,147.0
gradesgpa,,,1.0
gradewise,,,2.0
grading,,,10.0
graduate,,,161.0
graduated,,,90.0
"graduated

6",,,1.0
"graduated

fuck",,,1.0
graduatedo,,,1.0
graduatepost,,,1.0
graduating,,,88.0
graduation,,,66.0
"graduation

as",,,1.0
"graduation
guess",,,1.0
grand,,8.0,
grateful,,52.0,
"grateful

",,1.0,
gratefulness,,1.0,
gratification,,2.0,
gratifying,,1.0,
grating,,1.0,
gratitude,,2.0,
grave,3.0,,
great,,376.0,
greed,2.0,,
greedy,3.0,,
grief,4.0,,
grievances,2.0,,
grieving,2.0,,
grim,1.0,,
grimace,1.0,,
grime,1.0,,
grimes,1.0,,
grimy,3.0,,
grin,,1.0,
gross,20.0,,
grossed,5.0,,
grosses,2.0,,
grossly,2.0,,
grosssorry,1.0,,
grosswont,1.0,,
grouch,1.0,,
guilt,24.0,,
guilted,1.0,,
guiltfree,1.0,,
guilting,1.0,,
guilttripping,1.0,,
guilty,44.0,,
guilty”,1.0,,
ha,,8.0,
haha,,17.0,
hahaha,,6.0,
"hahaha

i",,1.0,
hahahabut,,1.0,
hahahahaa,,1.0,
handsome,,17.0,
happier,,37.0,
happiest,,10.0,
happily,,6.0,
happiness,,79.0,
happy,,446.0,
harass,2.0,,
harassed,2.0,,
harassing,6.0,,
harassment,13.0,,
hardwork,,,2.0
hardworking,,,2.0
harm,13.0,,
harmed,1.0,,
harmful,3.0,,
harmless,,7.0,
"harmless

there",,1.0,
harmonies,,1.0,
harmony,,3.0,
"harmony
moving",,1.0,
hate,549.0,,
hated,32.0,,
hateful,7.0,,
hatefully,1.0,,
haters,5.0,,
haterz,1.0,,
hates,16.0,,
hating,27.0,,
hatred,17.0,,
heartbreak,11.0,,
heartbreaker,1.0,,
heartbreaking,4.0,,
heartbreaks,2.0,,
heartbroken,10.0,,
"heartbroken

im",1.0,,
heartfelt,,3.0,
heartless,7.0,,
heaven,,14.0,
heavens,,1.0,
heh,,1.0,
hehehe,,1.0,
hell,148.0,,
hellish,2.0,,
helpful,,17.0,
helping,,39.0,
helpless,11.0,,
helplessly,1.0,,
helps,,27.0,
hero,,6.0,
heroes,,5.0,
heroic,,1.0,
heroine,,1.0,
hesitant,8.0,,
hesitate,6.0,,
hesitated,1.0,,
hesitates,1.0,,
hesitation,3.0,,
highschool,,,2.0
highschoolerwatchingfightclubtier,,,1.0
