,Negemo,Posemo,Work
"despair
as",1.0,,
desperate,13.0,,
desperately,8.0,,
despise,4.0,,
destroy,12.0,,
destroyed,13.0,,
"destroyed

then",1.0,,
destroyer,1.0,,
destroying,7.0,,
destroys,2.0,,
destruct,1.0,,
destruction,11.0,,
destructive,3.0,,
"destructive
white",1.0,,
determination,,3.0,
determined,,4.0,
devastated,5.0,,
devastating,3.0,,
devastatingly,1.0,,
devil,5.0,,
devils,2.0,,
devote,,2.0,
devoted,,1.0,
devotion,,2.0,
difficult,57.0,,
"difficult

but",1.0,,
difficulties,7.0,,
difficulty,2.0,,
dignity,,2.0,
diploma,,,2.0
diplomatic,,,1.0
directory,,,1.0
disadvantage,2.0,,
disagree,15.0,,
disagreeable,1.0,,
disagreed,2.0,,
disagreeing,4.0,,
disagreement,1.0,,
disagreements,2.0,,
disagrees,1.0,,
disappoint,3.0,,
disappointed,28.0,,
disappointing,4.0,,
disappointment,6.0,,
disaster,4.0,,
discomfort,3.0,,
discouraged,7.0,,
discourages,1.0,,
discouraging,3.0,,
disgust,5.0,,
disgusted,10.0,,
disgusting,28.0,,
disgustthen,1.0,,
disheartening,2.0,,
disillusioned,1.0,,
dislike,12.0,,
dislikes,1.0,,
disliking,1.0,,
distract,3.0,,
distracted,1.0,,
distracting,7.0,,
distraction,3.0,,
distractions,1.0,,
disturb,1.0,,
disturbed,3.0,,
disturbing,5.0,,
divine,,5.0,
"divine

its",,1.0,
diving,,1.0,
divining,,1.0,
doctor,,,21.0
doctors,,,9.0
dominance,1.0,,
dominant,4.0,,
dominate,1.0,,
dominated,3.0,,
dominating,3.0,,
domination,2.0,,
doom,2.0,,
doomed,2.0,,
dorks,1.0,,
dorky,2.0,,
dorm,,,115.0
dormant,,,1.0
dormcon,,,8.0
dorms,,,39.0
"dorms

go",,,1.0
"dorms
could",,,1.0
"dorms
i",,,1.0
dormsdont,,,1.0
dormsfsilgs,,,1.0
dormspam,,,1.0
doubt,32.0,,
"doubt

",1.0,,
doubted,4.0,,
doubts,4.0,,
dread,2.0,,
dreaded,1.0,,
dreading,3.0,,
dreadlocks,1.0,,
dropout,,,1.0
dull,4.0,,
dumb,30.0,,
dumbass,2.0,,
"dumbass

i’ll",1.0,,
dumbasses,1.0,,
dumber,2.0,,
dumbest,2.0,,
dumbie,1.0,,
dumbocracy,1.0,,
dump,7.0,,
"dump
i",1.0,,
dumped,2.0,,
dumping,1.0,,
dumpling,1.0,,
dumps,1.0,,
dumpster,1.0,,
dumpy,1.0,,
duties,,,1.0
dutifully,,,1.0
duty,,,7.0
dwelling,1.0,,
dynamic,,4.0,
dynamics,,6.0,
eager,,3.0,
eagerly,,4.0,
earn,,,7.0
earn8801672320145,,,1.0
earned,,,3.0
"earned
means",,,1.0
earnings,,,1.0
ease,,5.0,
easier,,44.0,
"easier
thanks",,1.0,
easiest,,5.0,
easily,,28.0,
easy,,83.0,
easyhard,,1.0,
easyif,,1.0,
economic,,,14.0
economically,,,3.0
economics,,,3.0
economist,,,1.0
economists,,,1.0
economy,,,11.0
edit,,,1.0
editing,,,1.0
editions,,,1.0
educate,,,9.0
educated,,,1.0
educating,,,1.0
education,,,46.0
educational,,,1.0
efficient,,2.0,
efficiently,,3.0,
egotistical,1.0,,
elegant,,2.0,
elementary,,,3.0
embarrassed,17.0,,
embarrasses,1.0,,
embarrassing,2.0,,
embarrassment,10.0,,
emotional,36.0,,
employ,,,1.0
employability,,,1.0
employed,,,1.0
employee,,,2.0
"employee
10",,,1.0
"employee
12",,,1.0
employees,,,6.0
employer,,,1.0
employers,,,4.0
employing,,,1.0
employment,,,1.0
emptiness,2.0,,
empty,21.0,,
encourage,,9.0,
encouraged,,4.0,
encouragement,,1.0,
encourages,,4.0,
encouraging,,9.0,
enemies,7.0,,
enemy,10.0,,
energetic,,3.0,
energy,,28.0,
engage,,4.0,
engaged,,3.0,
engagement,,1.0,
engaging,,2.0,
enjoy,,74.0,
enjoyable,,5.0,
enjoyed,,15.0,
enjoying,,14.0,
enjoyment,,3.0,
enjoys,,3.0,
enrage,1.0,,
enraged,1.0,,
entertaining,,4.0,
"entertaining

a",,1.0,
entertainment,,3.0,
"entertainment

",,1.0,
enthusiasm,,1.0,
enthusiastic,,6.0,
enthusiasts,,1.0,
envious,1.0,,
envy,7.0,,
evil,19.0,,
"evil
there",1.0,,
exam,,,98.0
exams,,,57.0
excel,,3.0,3.0
exceland,,1.0,1.0
excellence,,5.0,5.0
excellent,,3.0,3.0
excelling,,1.0,1.0
excited,,56.0,
excitement,,5.0,
excitements,,1.0,
excites,,1.0,
exciting,,7.0,
excruciating,2.0,,
excruciatingly,1.0,,
executive,,,3.0
exhausted,7.0,,
exhausting,4.0,,
"exhausting
me",1.0,,
expel,,,2.0
expelled,,,3.0
fabulous,,3.0,
faculties,,,1.0
faculty,,,15.0
fail,34.0,,34.0
"fail
4",1.0,,1.0
"fail
also",1.0,,1.0
failed,33.0,,33.0
failing,33.0,,33.0
fails,7.0,,7.0
failsafe,1.0,,1.0
failure,24.0,,24.0
failures,3.0,,3.0
faith,,16.0,
faithful,,1.0,
fake,35.0,,
fantastic,,19.0,
fantasticthat,,1.0,
fatal,1.0,,
fault,29.0,,
faults,1.0,,
faulttolerance,1.0,,
favor,,9.0,
favorable,,2.0,
favorite,,39.0,
"favorite”
bw",,1.0,
favors,,4.0,
favortie,,1.0,
favour,,1.0,
favourite,,1.0,
fear,47.0,,
fearful,1.0,,
fearing,1.0,,
fearlessly,,1.0,
fears,5.0,,
feedback,,,8.0
festival,,1.0,
festivals,,1.0,
fiery,1.0,,
fight,41.0,,
fightagainst,1.0,,
fighter,1.0,,
"fighters

why",1.0,,
fighting,17.0,,
fights,4.0,,
finals,,,134.0
finance,,,3.0
finances,,,1.0
financial,,,14.0
financially,,,5.0
fine,,55.0,
fired,9.0,,9.0
firing,,,3.0
flattering,,1.0,
flattery,,1.0,
"flawless
he",,1.0,
flexibility,,1.0,
flexible,,4.0,
flirt,,5.0,
flirted,,1.0,
flirting,,9.0,
flirty,,3.0,
flunk,1.0,,
flunked,1.0,,
fond,,3.0,
fondly,,1.0,
fool,3.0,,
fooling,1.0,,
foolish,3.0,,
foolishly,3.0,,
fools,5.0,,
forbid,2.0,,
forbids,1.0,,
forgave,,1.0,
forgive,,9.0,
forgiven,,2.0,
fought,3.0,,
franchising,,,1.0
frantic,1.0,,
frantically,3.0,,
frat,,,34.0
fraternal,,,1.0
fraternities,,,7.0
fraternity,,,21.0
fraternitys,,,1.0
freak,5.0,,
freaked,5.0,,
freakin,1.0,,
freaking,20.0,,
freaks,1.0,,
freakshow,1.0,,
freaky,1.0,,
free,,118.0,
"free

the",,1.0,
"free
ive",,1.0,
freebase,,1.0,
freedom,,10.0,
"freedom

how",,1.0,
freedumb,,1.0,
freeeeee,,1.0,
freefood,,2.0,
freeing,,1.0,
freely,,4.0,
freemasons,,1.0,
freethefuzz,,1.0,
freethenipple,,1.0,
freeze,,1.0,
freezing,,2.0,
freshman,,,145.0
freshmen,,,35.0
friend,,229.0,
"friend

perez",,1.0,
"friend
comment",,1.0,
"friend
i",,1.0,
"friend
im",,1.0,
friend1,,1.0,
friendacquaintance,,1.0,
friendand,,1.0,
friended,,1.0,
friendless,,3.0,
friendlier,,1.0,
friendliest,,1.0,
friendliness,,2.0,
friendly,,20.0,
friends,,672.0,
"friends

for",,1.0,
"friends

school",,1.0,
"friends
4",,1.0,
"friends
even",,1.0,
"friends
i",,1.0,
"friends
soadhdhelpmegmailcom",,1.0,
"friends
we",,1.0,
friendsfamily,,1.0,
friendship,,27.0,
friendships,,13.0,
friendssometimes,,1.0,
friendsyou,,1.0,
friends’,,1.0,
"friendthatimnotthatclosewith
i",,1.0,
friendzoned,,2.0,
fright,1.0,,
frightened,3.0,,
frightening,1.0,,
frustrated,14.0,,
frustrates,2.0,,
frustrating,6.0,,
frustratingly,1.0,,
frustration,7.0,,
"frustration

its",1.0,,
frustrations,1.0,,
fuck,459.0,,
fucked,73.0,,
fuckedup,1.0,,
fucker,2.0,,
fuckers,5.0,,
fuckin,11.0,,
fucking,343.0,,
fucks,13.0,,
fumes,2.0,,
fun,,120.0,
"funnies

and",,1.0,
funniest,,1.0,
funny,,52.0,
funnytroll,,1.0,
furious,1.0,,
furiously,2.0,,
fury,2.0,,
geek,2.0,,
geeky,4.0,,
generosity,,1.0,
generous,,3.0,
generously,,1.0,
gentle,,9.0,
gently,,2.0,
giggle,,1.0,
giggles,,3.0,
giggling,,1.0,
giver,,1.0,
giving,,61.0,
glad,,50.0,
gladly,,1.0,
glamorous,,1.0,
gloom,1.0,,
gloomiest,1.0,,
gloomy,2.0,,
glorified,,1.0,
glorify,,1.0,
glorious,,6.0,
"glorious

there",,1.0,
"glorious
over",,1.0,
glory,,3.0,
goal,,,17.0
goals,,,10.0
goddam,1.0,,
goddammit,2.0,,
goddamn,27.0,,
goddamned,1.0,,
good,,453.0,
goodness,,4.0,
gorgeous,,10.0,
gossiping,1.0,,
gov,,,2.0
govern,,,1.0
government,,,33.0
"government

i",,,1.0
governmentmandated,,,1.0
governments,,,6.0
governs,,,1.0
gpa,,,62.0
grace,,1.0,
grad,,,63.0
grade,,,59.0
"grade
yes",,,1.0
gradebook,,,2.0
graded,,,5.0
grader,,,5.0
graders,,,6.0
grades,,,75.0
"grades
someone",,,1.0
gradesrest,,,1.0
grading,,,8.0
graduate,,,62.0
"graduate

1",,,1.0
graduated,,,18.0
"graduated

it",,,1.0
graduatedmoved,,,1.0
graduates,,,3.0
graduatesmmmmm,,,1.0
graduating,,,26.0
graduation,,,23.0
"graduation

ihtfp",,,1.0
grand,,6.0,
grande,,1.0,
grateful,,14.0,
gratification,,1.0,
gratitude,,1.0,
grave,2.0,,
gravest,1.0,,
great,,213.0,
greed,4.0,,
greedy,4.0,,
grief,3.0,,
grievances,1.0,,
grieve,1.0,,
grimes,1.0,,
grin,,1.0,
grinning,,3.0,
gross,7.0,,
grossest,1.0,,
grossly,1.0,,
guilt,20.0,,
guiltladen,1.0,,
guilty,52.0,,
"guilty

it",1.0,,
haha,,5.0,
hahaha,,1.0,
handsome,,7.0,
happier,,25.0,
happiermore,,1.0,
happiest,,4.0,
happily,,1.0,
happiness,,26.0,
happy,,204.0,
harass,1.0,,
harassed,6.0,,
harasses,1.0,,
harassment,4.0,,
hardwork,,,1.0
hardworking,,,2.0
harm,15.0,,
harmed,1.0,,
harmful,2.0,,
harming,3.0,,
harmless,,4.0,
harmlessly,,1.0,
harms,2.0,,
hate,272.0,,
hated,8.0,,
hateful,5.0,,
"hateful

what",1.0,,
haters,6.0,,
"haters
who",1.0,,
hates,16.0,,
hating,15.0,,
hatred,16.0,,
heartbreak,4.0,,
heartbreaking,2.0,,
heartbreakingly,1.0,,
heartbroken,13.0,,
heartfelt,,1.0,
heartless,2.0,,
heaven,,5.0,
heh,,3.0,
hehe,,1.0,
hehehe,,2.0,
hell,85.0,,
hellish,1.0,,
helpful,,23.0,
helping,,34.0,
helpless,2.0,,
helplessly,1.0,,
helps,,25.0,
hero,,6.0,
heroes,,3.0,
heroic,,1.0,
heroin,,2.0,
heros,,1.0,
hesitant,4.0,,
hesitate,2.0,,
hesitation,2.0,,
highschool,,,8.0
hilarious,,3.0,
hire,,,7.0
hired,,,3.0
hiring,,,3.0
homesick,1.0,,
homework,,,19.0
"homework

screw",,,1.0
homeworks,,,1.0
honest,,42.0,
"honest

ends",,1.0,
honestly,,119.0,
honesty,,9.0,
honor,,12.0,
honorable,,1.0,
honorary,,1.0,
honored,,1.0,
honoring,,1.0,
honour,,1.0,
hope,,170.0,
hoped,,7.0,
hopeful,,2.0,
hopefully,,20.0,
hopeless,10.0,,
hopelessly,7.0,,
hopelessness,2.0,,
hopes,,14.0,
hoping,,28.0,
horrendous,1.0,,
horrible,30.0,,
horribly,11.0,,
horrid,2.0,,
horrific,1.0,,
horrified,1.0,,
horrifyingly,1.0,,
horror,12.0,,
horrors,1.0,,
hostile,1.0,,
hostility,1.0,,
hugged,,1.0,
hugging,,1.0,
hugs,,4.0,
humiliate,1.0,,
"humiliate

i",1.0,,
humiliated,2.0,,
humiliation,1.0,,
humor,,11.0,
humorous,,1.0,
humour,,1.0,
hurt,81.0,,
hurtful,4.0,,
hurting,19.0,,
hurtle,1.0,,
hurtling,1.0,,
hurts,26.0,,
"hurts

thats",1.0,,
ideal,,1.0,
idealism,,1.0,
idealistic,,1.0,
idealists,,1.0,
idealize,,1.0,
ideally,,3.0,
idealogical,,1.0,
ideals,,2.0,
idiot,21.0,,
ignoramus,1.0,,
ignorance,16.0,,
ignorant,16.0,,
ignorantshallow,1.0,,
ignore,19.0,,
ignored,11.0,,
ignoring,13.0,,
immoral,1.0,,
impatient,2.0,,
impatiently,2.0,,
impersonal,1.0,,
importance,,2.0,
important,,69.0,
"important

but",,1.0,
"important
2",,1.0,
importantly,,8.0,
"importantly
i",,1.0,
impress,,3.0,
impressed,,13.0,
impressing,,1.0,
impression,,6.0,
impressive,,6.0,
improve,,14.0,
improved,,4.0,
improveive,,1.0,
improvement,,3.0,
improves,,1.0,
improving,,3.0,
inadequacy,1.0,,
inadequate,5.0,,
inadequately,1.0,,
inc,,,1.0
incentives,,3.0,
income,,,5.0
"income

to",,,1.0
incorporate,,,1.0
"indecision

but",1.0,,
industrial,,,2.0
industries,,,1.0
industry,,,5.0
"industry
",,,1.0
ineffective,2.0,,
inhibiting,1.0,,
inhibitions,1.0,,
innocence,,3.0,
innocent,,33.0,
insecure,13.0,,
insecured,1.0,,
insecurescaredinadequate,1.0,,
insecurities,4.0,,
insecurity,6.0,,
inspiration,,1.0,
inspirational,,1.0,
inspire,,1.0,
inspired,,2.0,
inspires,,2.0,
inspiring,,6.0,
instruct,,,1.0
instructions,,,3.0
instructor,,,4.0
instructors,,,5.0
insult,6.0,,
insulted,2.0,,
insulting,5.0,,
insults,3.0,,
intellect,,2.0,
intellectual,,6.0,
intellectually,,4.0,
intellectuals,,1.0,
intelligence,,10.0,
intelligent,,22.0,
interest,,31.0,
interested,,80.0,
"interested
httpswarosuorglitthread6026166",,1.0,
interesting,,50.0,
"interesting

4",,1.0,
interestingness,,1.0,
interests,,15.0,
interrupt,2.0,,
interrupted,4.0,,
interrupting,4.0,,
interview,,,9.0
interviewer,,,1.0
interviewers,,,2.0
interviewing,,,5.0
interviews,,,11.0
interviewsno,,,1.0
intimidate,1.0,,
intimidated,4.0,,
intimidating,9.0,,
intimidation,1.0,,
irrational,8.0,,
irrationally,2.0,,
irritable,1.0,,
irritate,1.0,,
irritated,3.0,,
irritates,2.0,,
irritating,2.0,,
isolate,5.0,,
isolated,4.0,,
isolating,4.0,,
isolation,2.0,,
isolatory,1.0,,
jaded,2.0,,
jealous,27.0,,
jealousy,3.0,,
jerk,20.0,,
jerks,2.0,,
job,,,125.0
"job
",,,1.0
jobs,,,30.0
"jobs

i’m",,,1.0
jobsgo,,,1.0
jobsinternships,,,1.0
jobsinterviewsinternships,,,1.0
joke,,51.0,
"joke

in",,1.0,
"joke
well",,1.0,
joked,,2.0,
jokes,,15.0,
joking,,1.0,
jolly,,1.0,
joy,,7.0,
joyfulness,,1.0,
joys,,1.0,
junior,,,30.0
juniors,,,3.0
juniorsenior,,,1.0
junioryear,,,1.0
keyboard,,,4.0
keyboards,,,1.0
kidding,,7.0,
kill,54.0,,
killed,47.0,,
killer,9.0,,
killian,4.0,,
killing,18.0,,
killings,1.0,,
kills,7.0,,
kind,,131.0,
kindly,,2.0,
kindness,,10.0,
kiss,,14.0,
kisse,,1.0,
kissed,,9.0,
kissedbeen,,1.0,
