,Negemo,Posemo,Work
cleverly,,2.0,
collaborate,,,1.0
collaborating,,,2.0
collaborationcoexistence,,,1.0
collaboratively,,,1.0
colleague,,,3.0
colleagues,,,1.0
college,,,212.0
"college

i",,,1.0
"college
346",,,1.0
colleges,,,11.0
college”,,,1.0
collegiate,,,1.0
comedic,,1.0,
comedy,,1.0,
comfort,,14.0,
comfortable,,39.0,
"comfortable

i",,1.0,
comfortablesafe,,1.0,
comfortably,,2.0,
comforting,,4.0,
commercial,,,2.0
commitment,,6.0,
commitments,,4.0,
companies,,,3.0
company,,,9.0
compassion,,6.0,
compassionate,,1.0,
complain,37.0,,
complained,3.0,,
complaining,29.0,,
complains,3.0,,
complaint,3.0,,
complaints,8.0,,
compliment,,12.0,
complimented,,3.0,
compliments,,12.0,
computer,,,24.0
computers,,,4.0
confidence,,14.0,
confident,,18.0,
confidently,,1.0,
confront,6.0,,
confrontation,1.0,,
confronted,3.0,,
confronting,4.0,,
confused,17.0,,
confusedlooking,1.0,,
confuses,1.0,,
confusing,1.0,,
confusion,5.0,,
considerate,,3.0,
contentment,,1.0,
contracts,,,1.0
contradicting,3.0,,
contradictory,2.0,,
convince,,11.0,
convinced,,22.0,
convincing,,3.0,
cool,,59.0,
corporate,,,3.0
corporation,,,1.0
corporations,,,4.0
council,,,3.0
counseling,,,13.0
counselling,,,1.0
counselor,,,7.0
counselors,,,4.0
courage,,12.0,
course,,,78.0
"course

while",,,1.0
courseload,,,1.0
courses,,,11.0
courses5th,,,1.0
coursework,,,4.0
coworkers,,,6.0
crap,12.0,,
crappy,6.0,,
crazed,3.0,,
craziest,2.0,,
crazy,35.0,,
create,,16.0,
created,,6.0,
creates,,1.0,
creating,,7.0,
creation,,1.0,
creative,,4.0,
creatively,,1.0,
creativity,,1.0,
credit,,14.0,14.0
credited,,1.0,1.0
credits,,13.0,13.0
cried,19.0,,
cries,3.0,,
critical,6.0,,
criticism,8.0,,
criticisms,3.0,,
criticize,5.0,,
criticized,4.0,,
criticizing,5.0,,
crude,3.0,,
cruel,6.0,,
cruelty,1.0,,
crushed,5.0,,
cry,17.0,,
crying,21.0,,
cunt,1.0,,
curriculars,,,1.0
"curriculars

my",,,1.0
curriculum,,,1.0
customers,,,3.0
cut,41.0,,
cute,,23.0,
cutebeautifulsmartfunnysexy,,1.0,
cutest,,2.0,
cynic,1.0,,
cynical,3.0,,
damage,11.0,,
damages,4.0,,
damaging,1.0,,
damn,51.0,,
damnation,1.0,,
damned,7.0,,
damnit,1.0,,
damnwashu,1.0,,
danger,4.0,,
dangerous,11.0,,
dangerously,1.0,,
dangers,1.0,,
daring,,2.0,
deadline,,,2.0
deadlines,,,1.0
dean,,,14.0
deans,,,11.0
dear,,5.0,
dearly,,2.0,
defeats,4.0,,
defense,7.0,,
defenseless,3.0,,
defensive,1.0,,
"defensive

it",1.0,,
definitely,,54.0,
degrade,1.0,,
degraded,1.0,,
degrading,5.0,,
delegate,,,1.0
delicate,,1.0,
delicious,,3.0,
delightful,,2.0,
department,,,12.0
departments,,,4.0
depressed,39.0,,
depressedlonely,1.0,,
depresses,2.0,,
depressing,13.0,,
depression,83.0,,
"depression

i",1.0,,
depressionanxiety,1.0,,
depressions,1.0,,
depressive,2.0,,
deprivation,1.0,,
deprive,2.0,,
desk,,,11.0
desks,,,1.0
desktop,,,1.0
despair,2.0,,
desperate,7.0,,
desperately,2.0,,
desperation,4.0,,
despise,3.0,,
destroy,6.0,,
destroyed,2.0,,
destroying,4.0,,
destructive,4.0,,
determinant,,1.0,
determination,,2.0,
determined,,7.0,
devastated,2.0,,
devastating,1.0,,
devastation,1.0,,
devil,2.0,,
devote,,1.0,
devoted,,2.0,
devotion,,1.0,
difficult,54.0,,
difficulties,3.0,,
difficulty,4.0,,
dignity,,5.0,
diploma,,,3.0
disadvantage,2.0,,
disagree,13.0,,
"disagree
but",1.0,,
disagreement,1.0,,
disagreements,1.0,,
disagrees,1.0,,
disagree—,1.0,,
disappoint,6.0,,
disappointbore,1.0,,
disappointed,43.0,,
disappointing,5.0,,
disappointment,10.0,,
disappointments,1.0,,
disaster,1.0,,
discomfort,4.0,,
discourage,2.0,,
discouraged,2.0,,
discourages,1.0,,
discouraging,5.0,,
disgust,3.0,,
disgusted,13.0,,
disgusting,12.0,,
disgustingly,1.0,,
disgusts,2.0,,
disheartening,4.0,,
disillusioned,2.0,,
dislike,4.0,,
disliked,1.0,,
dislikes,1.0,,
dissatisfaction,1.0,,
dissatisfactions,1.0,,
dissatisfactory,1.0,,
dissertation,,,1.0
distract,4.0,,
distracted,1.0,,
distracting,2.0,,
distractions,2.0,,
distractionsblockages,1.0,,
distracts,1.0,,
distraught,1.0,,
distress,1.0,,
distressing,2.0,,
disturbed,3.0,,
disturbing,2.0,,
"disturbing

httpwwwwupeopleshistorycomonsecretsocietieshtml",1.0,,
doctor,,,33.0
doctors,,,15.0
dominant,1.0,,
dominated,1.0,,
doomed,2.0,,
dork,1.0,,
dorm,,,27.0
dorms,,,11.0
doubt,15.0,,
"doubt

i",1.0,,
doubting,3.0,,
dread,8.0,,
dreaded,1.0,,
dreading,5.0,,
dreads,1.0,,
dull,11.0,,
dumb,21.0,,
dumbass,1.0,,
dumbeddown,1.0,,
dumber,1.0,,
dumbest,1.0,,
dumbfounded,2.0,,
dump,7.0,,
dumped,4.0,,
dumping,1.0,,
dumplings,1.0,,
dutifully,,,1.0
duty,,,6.0
dwell,2.0,,
dynamic,,2.0,
dynamics,,3.0,
eager,,3.0,
earn,,,7.0
earned,,,3.0
earnings,,,1.0
ease,,4.0,
easier,,29.0,
"easier

maybe",,1.0,
easiest,,1.0,
easily,,25.0,
easy,,61.0,
easycore,,1.0,
econ,,,1.0
economic,,,10.0
economical,,,1.0
economics,,,1.0
ecstatic,,4.0,
edit,,,1.0
editcensor,,,1.0
edited,,,1.0
edith,,,1.0
editing,,,1.0
edition,,,1.0
educate,,,2.0
educated,,,3.0
educating,,,1.0
education,,,54.0
"education

i",,,1.0
"education

when",,,1.0
educational,,,2.0
efficiency,,1.0,
efficient,,4.0,
elegantly,,1.0,
elementary,,,2.0
embarrassed,21.0,,
embarrassing,10.0,,
embarrassingly,3.0,,
embarrassment,2.0,,
emotional,25.0,,
employability,,,1.0
employed,,,1.0
employee,,,4.0
employees,,,8.0
employer,,,2.0
employers,,,8.0
employment,,,5.0
emptied,1.0,,
emptiness,3.0,,
empty,17.0,,
encourage,,23.0,
encouraged,,6.0,
encouragement,,6.0,
encourages,,3.0,
encouraging,,6.0,
enemies,1.0,,
energetic,,2.0,
energies,,1.0,
energy,,15.0,
engage,,7.0,
engagement,,1.0,
engaging,,4.0,
enjoy,,75.0,
enjoyable,,4.0,
enjoyed,,15.0,
enjoying,,15.0,
enjoys,,2.0,
enraging,1.0,,
entertain,,1.0,
entertained,,2.0,
entertaining,,5.0,
entertainment,,2.0,
enthusiasm,,5.0,
"enthusiasm

you",,1.0,
enthusiasminterest,,1.0,
enthusiastic,,5.0,
envious,1.0,,
envy,4.0,,
esl,,,8.0
evil,7.0,,
exam,,,56.0
exams,,,36.0
excel,,2.0,2.0
excellence,,1.0,1.0
excellent,,3.0,3.0
excelling,,1.0,1.0
excited,,32.0,
excitement,,5.0,
exciting,,6.0,
excruciating,1.0,,
executive,,,2.0
executives,,,1.0
exhausted,5.0,,
exhausting,5.0,,
expel,,,2.0
expelled,,,1.0
fabulous,,1.0,
factory,,,1.0
faculty,,,15.0
"faculty
not",,,1.0
fail,27.0,,27.0
"fail

i",1.0,,1.0
failed,16.0,,16.0
"failed

when",1.0,,1.0
failing,10.0,,10.0
fails,3.0,,3.0
"fails”
",1.0,,1.0
failure,16.0,,16.0
"failure
plus",1.0,,1.0
failures,1.0,,1.0
faith,,9.0,
faiths,,1.0,
fake,17.0,,
fantastic,,8.0,
fantastically,,1.0,
fatal,1.0,,
fatigue,1.0,,
fault,26.0,,
"fault

it",1.0,,
faultline,1.0,,
faults,2.0,,
faulty,1.0,,
fault”,1.0,,
favor,,10.0,
favorable,,1.0,
favorite,,25.0,
favorites,,1.0,
favoritism,,1.0,
favors,,1.0,
fear,64.0,,
feared,1.0,,
fearful,2.0,,
fearing,1.0,,
fearlessly,,1.0,
fears,8.0,,
feedback,,,5.0
fight,33.0,,
fighter,2.0,,
fighting,20.0,,
fights,1.0,,
finals,,,37.0
finance,,,2.0
financeconsulting,,,1.0
finances,,,4.0
financial,,,38.0
financially,,,16.0
financials,,,1.0
fine,,51.0,
fired,3.0,,3.0
flattered,,2.0,
flattering,,2.0,
flawless,,2.0,
flirt,,2.0,
flirtatious,,1.0,
flirted,,2.0,
flirting,,5.0,
flunk,1.0,,
fond,,2.0,
fondly,,1.0,
fool,1.0,,
foolish,8.0,,
foolishly,1.0,,
fools,1.0,,
forbid,1.0,,
forgive,,6.0,
forgiven,,1.0,
forgiveness,,1.0,
fought,2.0,,
frantically,3.0,,
frat,,,29.0
fraternities,,,17.0
fraternities’,,,1.0
fraternity,,,42.0
fraternitysorority,,,3.0
freak,12.0,,
freaked,5.0,,
freakin,2.0,,
freaking,22.0,,
freakingclusters,1.0,,
freakingth,1.0,,
freakishly,1.0,,
freaks,1.0,,
free,,90.0,
freedom,,15.0,
freedoms,,1.0,
freeee,,1.0,
"freeforall

submit",,1.0,
freeing,,1.0,
freely,,3.0,
freethinking,,1.0,
freeze,,1.0,
freezerfridge,,1.0,
freezing,,1.0,
freshman,,,91.0
freshmanyear,,,1.0
freshmen,,,28.0
"freshmen

your",,,1.0
friend,,194.0,
"friend

that",,1.0,
friended,,1.0,
friendless,,1.0,
friendliness,,3.0,
friendly,,31.0,
friends,,597.0,
"friends

all",,1.0,
"friends

i",,1.0,
"friends

ive",,1.0,
"friends

my",,1.0,
"friends

secondly",,1.0,
"friends
i",,1.0,
"friends
smell",,1.0,
"friends
they",,1.0,
friendsgenerally,,1.0,
friendship,,14.0,
"friendship

but",,1.0,
"friendship

it",,1.0,
"friendship
now",,1.0,
friendshippromoting,,1.0,
friendshiprelationshipcuddleship,,1.0,
friendships,,17.0,
friendship”,,1.0,
friendsi,,1.0,
friendswhite,,1.0,
friends”,,1.0,
friendzoned,,1.0,
frighten,1.0,,
frightened,1.0,,
frightens,1.0,,
frighton,1.0,,
frustrate,1.0,,
frustrated,22.0,,
frustrates,3.0,,
frustrating,12.0,,
"frustrating

i",1.0,,
frustratingly,1.0,,
frustration,8.0,,
frustrations,3.0,,
fuck,84.0,,
fucked,21.0,,
fucker,3.0,,
fuckers,2.0,,
fuckin,5.0,,
fucking,83.0,,
"fucking

oddly",1.0,,
fucks,3.0,,
fumes,1.0,,
fun,,118.0,
funnel,,1.0,
funniest,,1.0,
funny,,37.0,
furious,2.0,,
geek,1.0,,
geeky,1.0,,
generous,,5.0,
generously,,3.0,
gentle,,5.0,
gently,,3.0,
giggle,,3.0,
giggles,,2.0,
giggling,,3.0,
giving,,36.0,
glad,,31.0,
gladly,,3.0,
glamorization,,1.0,
glamorous,,1.0,
gloomy,1.0,,
glorified,,1.0,
glorifying,,1.0,
glorious,,2.0,
glory,,2.0,
goal,,,23.0
"goal

good",,,1.0
goals,,,18.0
goddam,3.0,,
goddamn,7.0,,
goddamned,1.0,,
good,,379.0,
goodness,,4.0,
gorgeous,,2.0,
gossip,1.0,,
gossiping,1.0,,
gossipy,1.0,,
gov,,,2.0
government,,,14.0
governmental,,,1.0
gpa,,,112.0
grace,,2.0,
graceful,,1.0,
gracious,,3.0,
graciously,,1.0,
grad,,,31.0
grade,,,32.0
"grade

it",,,1.0
"grade
seems",,,1.0
graded,,,1.0
grades,,,85.0
"grades

so",,,1.0
gradesgpa,,,1.0
gradewise,,,1.0
grading,,,1.0
graduate,,,61.0
graduated,,,33.0
graduates,,,4.0
graduating,,,24.0
graduation,,,29.0
"graduation

this",,,1.0
graduations,,,1.0
grand,,8.0,
grande,,1.0,
grateful,,19.0,
"grateful

here",,1.0,
gratification,,2.0,
gratitude,,3.0,
grave,2.0,,
gre,,,4.0
great,,163.0,
greedy,3.0,,
grievances,2.0,,
grieving,3.0,,
grievous,1.0,,
grievously,1.0,,
grin,,1.0,
gross,6.0,,
grossed,1.0,,
grosser,1.0,,
grosses,1.0,,
grossly,1.0,,
guilt,7.0,,
guiltfree,1.0,,
guilty,37.0,,
guiltynot,1.0,,
ha,,1.0,
haha,,2.0,
hahah,,1.0,
hahaha,,2.0,
hahahah,,1.0,
handsome,,7.0,
happier,,26.0,
happiest,,7.0,
happily,,4.0,
happiness,,17.0,
"happiness
lets",,1.0,
happy,,195.0,
harass,3.0,,
harassed,3.0,,
harassment,3.0,,
hardworking,,,2.0
harm,8.0,,
harmed,1.0,,
harmful,7.0,,
harmless,,1.0,
harmony,,1.0,
hate,182.0,,
hated,20.0,,
hateful,4.0,,
"hateful

the",1.0,,
hater,3.0,,
haters,2.0,,
hates,2.0,,
hating,7.0,,
hatred,7.0,,
heartbreak,1.0,,
heartbreaking,8.0,,
heartbroken,3.0,,
heartfelt,,2.0,
heaven,,1.0,
heavens,,1.0,
heh,,1.0,
hehim,,2.0,
hell,59.0,,
helpful,,17.0,
helping,,19.0,
helpless,3.0,,
helplessly,1.0,,
helps,,17.0,
hero,,3.0,
heroin,,4.0,
heros,,1.0,
hesitant,5.0,,
hesitate,1.0,,
hesitation,1.0,,
hilarious,,14.0,
hire,,,6.0
hiring,,,3.0
homesick,3.0,,
homesickness,1.0,,
homework,,,21.0
"homework
2",,,1.0
homeworknight,,,1.0
honest,,40.0,
honestim,,1.0,
honestly,,130.0,
honesty,,9.0,
honor,,14.0,
honoraries,,2.0,
honorary,,4.0,
honored,,2.0,
honors,,1.0,
hope,,129.0,
hoped,,4.0,
hopeful,,3.0,
hopefully,,19.0,
hopeless,4.0,,
hopelessness,1.0,,
hopes,,6.0,
hoping,,27.0,
horrible,29.0,,
horribly,5.0,,
horrid,3.0,,
horrific,1.0,,
horrified,1.0,,
horrifies,2.0,,
horrifying,2.0,,
horror,5.0,,
hostile,3.0,,
hostility,2.0,,
hugged,,3.0,
hugs,,5.0,
humiliated,2.0,,
humiliates,2.0,,
humiliating,1.0,,
humor,,1.0,
humorous,,1.0,
hurt,44.0,,
"hurt

all",1.0,,
hurtful,4.0,,
hurting,15.0,,
hurts,38.0,,
"hurts

as",1.0,,
ideal,,5.0,
idealization,,1.0,
ideals,,3.0,
idiot,3.0,,
ignorance,5.0,,
ignorant,17.0,,
ignore,8.0,,
ignorebrush,1.0,,
ignored,9.0,,
ignores,2.0,,
ignoring,5.0,,
immoral,2.0,,
impatient,1.0,,
impersonal,1.0,,
impolite,1.0,,
importance,,12.0,
important,,68.0,
"important

ps",,1.0,
importantly,,13.0,
importantlydont,,1.0,
importantlythe,,1.0,
impress,,3.0,
impressed,,4.0,
impression,,6.0,
impressions,,2.0,
impressive,,3.0,
improve,,12.0,
improved,,1.0,
improvement,,3.0,
improvements,,3.0,
improves,,2.0,
improving,,5.0,
inadequacy,1.0,,
inadequate,12.0,,
inadequately,1.0,,
inc,,,1.0
income,,,13.0
"income

i",,,1.0
incorporating,,,1.0
indecisive,1.0,,
industrial,,,1.0
industry,,,7.0
inhibit,1.0,,
inhibitions,1.0,,
inhibits,1.0,,
innocence,,1.0,
innocent,,8.0,
"innocent
its",,1.0,
insecure,11.0,,
insecurities,3.0,,
insecurity,4.0,,
inspiration,,1.0,
inspirational,,3.0,
inspire,,1.0,
inspired,,11.0,
inspires,,1.0,
inspiring,,4.0,
instructed,,,1.0
instructions,,,2.0
insult,10.0,,
insulted,1.0,,
insults,3.0,,
intellectual,,8.0,
intellectually,,5.0,
intellectuals,,1.0,
intelligence,,10.0,
intelligent,,16.0,
interest,,21.0,
interested,,47.0,
interesting,,29.0,
interestingly,,1.0,
interests,,17.0,
"interests

this",,1.0,
"interests”

this",,1.0,
interrupted,7.0,,
interrupting,1.0,,
interrupts,1.0,,
interview,,,9.0
interviewer,,,1.0
interviewing,,,1.0
interviews,,,9.0
intimidate,1.0,,
intimidated,6.0,,
intimidating,3.0,,
intimidation,1.0,,
irrational,9.0,,
irrationally,4.0,,
irritated,2.0,,
irritating,2.0,,
irritations,1.0,,
isolated,14.0,,
isolatedinabubbleuniversities,1.0,,
isolating,2.0,,
isolation,4.0,,
jaded,2.0,,
jd,,,1.0
jealous,18.0,,
jerk,8.0,,
jerks,1.0,,
job,,,145.0
"job

i",,,1.0
"job

my",,,1.0
jobs,,,38.0
joke,,18.0,
"joke

this",,1.0,
joked,,3.0,
jokei,,1.0,
jokes,,14.0,
joking,,2.0,
jolly,,1.0,
joy,,3.0,
"joy

also",,1.0,
joyful,,1.0,
joys,,1.0,
junior,,,42.0
juniorits,,,1.0
keenly,,2.0,
keyboard,,,1.0
kidding,,6.0,
kill,18.0,,
killed,12.0,,
"killed

sometimes",1.0,,
killer,2.0,,
killers,1.0,,
killin,1.0,,
killing,11.0,,
kills,6.0,,
kind,,139.0,
kindergarten,,,2.0
kindly,,1.0,
kindness,,6.0,
kiss,,11.0,
kissed,,12.0,
kisser,,1.0,
kisses,,1.0,
kissing,,2.0,
labor,,,1.0
laidback,,1.0,
lame,13.0,,
lament,1.0,,
laptop,,,5.0
laugh,,17.0,
laughable,,3.0,
laughed,,6.0,
laughing,,6.0,
laughs,,4.0,
laughtersmiling,,1.0,
lazy,13.0,,
lead,,,9.0
leader,,,4.0
leaders,,,8.0
leadership,,,10.0
leading,,,5.0
leads,,,7.0
learn,,,66.0
"learn

2445c
post",,,1.0
"learn

thank",,,1.0
learned,,,24.0
"learner

2976b
this",,,1.0
learning,,,37.0
learningstudying,,,1.0
learningthen,,,1.0
learnt,,,2.0
lecture,,,26.0
lectured,,,1.0
lecturer,,,1.0
lecturers,,,1.0
lectures,,,7.0
legal,,,10.0
legalization,,,4.0
legally,,,3.0
"liability

telling",1.0,,
liar,2.0,,
liars,2.0,,
libertarian,,3.0,
libertarianism,,1.0,
libertarians,,1.0,
liberty,,1.0,
libraries,,,3.0
library,,,71.0
libraryboth,,,1.0
libraryonly,,,1.0
library…,,,1.0
lied,10.0,,
lies,8.0,,
like,,1463.0,
liked,,29.0,
likes,,48.0,
liking,,8.0,
livelihood,,1.0,
lone,1.0,,
loneliness,6.0,,
lonely,36.0,,
loner,1.0,,
longing,3.0,,
lose,42.0,,
loser,11.0,,
losers,1.0,,
"losers

lets",1.0,,
losing,22.0,,
loss,14.0,,
losses,1.0,,
lost,56.0,,
lousy,1.0,,
love,,354.0,
loved,,43.0,
lovely,,3.0,
lover,,3.0,
lovers,,1.0,
loves,,13.0,
loving,,13.0,
low,30.0,,
lower,21.0,,
"lower

now",1.0,,
lowered,1.0,,
lowering,1.0,,
lowermiddle,1.0,,
lowers,1.0,,
lowertier,1.0,,
lowest,9.0,,
lowfunctioning,1.0,,
lows,1.0,,
loyal,,1.0,
loyalty,,2.0,
lsat,,,4.0
luck,,32.0,
lucked,,1.0,
luckiest,,3.0,
luckily,,7.0,
lucky,,24.0,
ludicrous,1.0,,
lying,16.0,,
mad,17.0,,
madder,1.0,,
madly,,3.0,
magnificence,,1.0,
mailroom,,,1.0
majoring,,,2.0
majors,,,10.0
manage,,,15.0
manageable,,,1.0
managed,,,10.0
management,,,7.0
manager,,,2.0
managers,,,1.0
manages,,,2.0
managing,,,3.0
maniac,1.0,,
manufacturing,,,1.0
market,,,8.0
marketing,,,4.0
masters,,,2.0
math,,,18.0
mathematicians,,,1.0
mathscience,,,1.0
mcat,,,10.0
meeting,,,21.0
meetingproject,,,2.0
meetings,,,11.0
menial,,,2.0
mentor,,,3.0
merit,,5.0,
meritable,,1.0,
merrisa,,1.0,
mess,6.0,,
messy,1.0,,
midterm,,,9.0
midterms,,,3.0
miserable,15.0,,
miserablethe,1.0,,
misery,1.0,,
miss,93.0,,
missed,20.0,,
missing,26.0,,
mistake,17.0,,
"mistake

i",1.0,,
"mistake
some",1.0,,
mistaken,2.0,,
mistakenly,3.0,,
mistakes,6.0,,
mistakethis,1.0,,
mocking,1.0,,
molested,1.0,,
"molested

that",1.0,,
moody,1.0,,
motivate,,,4.0
motivated,,,3.0
motivating,,,1.0
motivation,,,15.0
"motivation

2556b
",,,1.0
motivator,,,1.0
motives,,,2.0
mourn,1.0,,
murder,6.0,,
murdered,3.0,,
murderer,1.0,,
murderers,1.0,,
"murderers

this",1.0,,
murdering,1.0,,
murdersuicide,1.0,,
nag,1.0,,
nagged,1.0,,
nagging,1.0,,
nasty,6.0,,
